"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants"
"predicate_1",NA,NA,NA,NA,-0.590139668843011,-0.568756800304191,-0.818336840095447,-0.685291284373447,-0.852899690303002,-0.870112821040485,0.0898005352678026,0.00834435389533297,0.00863391104480758,0.0082594719163314,24,200
"workerid",NA,NA,NA,NA,-0.0221924146783706,-0.906321309098854,-0.772938258844758,-0.620378982074079,-0.366584330583533,0.550808901056346,0.414718422825689,0.143487643823212,0.116631899563751,0.47021714665748,24,200
NA,0.113571092327583,0.229450462689091,0.0861503975655143,0.10385609315914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,200
"predicate_1",NA,NA,NA,NA,-0.403749516034977,-0.747860809910262,-0.768758394626422,-0.817486123405827,-0.607770853199728,-0.795081584408917,0.0400125960871607,0.121156284726304,0.00228400338886188,0.00367684337252288,708,200
"workerid",NA,NA,NA,NA,-0.217222193684581,-0.449375221995238,-0.502377679538345,-0.613581466046298,-0.0398027005973218,-0.86030214840276,0.37201148412156,0.307111997507956,0.00856658277996376,0.484395423434647,708,200
NA,0.181306804011019,0.204909371493359,0.012077351893211,0.0824939268233184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,200
"predicate_1",NA,NA,NA,NA,-0.457992828333882,-0.946766515563109,-0.603094092753591,-0.779275405160202,-0.586613144004737,-0.770808165794396,0.09074045774227,0.0438377161835838,0.0179387874021637,0.134449568291169,905,200
"workerid",NA,NA,NA,NA,0.0839506247658767,-0.366810240132105,-0.453431375332767,0.176252661978583,-0.786057257382496,-0.911252986359524,0.301143442403976,0.346775822460591,0.0797129069321847,0.441684908383871,905,200
NA,0.10808475035379,0.0403690719230902,0.0546522034904442,-0.0931789781834112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905,200
"predicate_1",NA,NA,NA,NA,-0.394908254505428,-0.77007967867181,-0.703270977845211,-0.179631890227706,-0.446715173499505,-0.618968948130797,0.014252662922187,0.150981521221323,0.188607467980469,0.0124146084767253,602,200
"workerid",NA,NA,NA,NA,0.36549340108856,-0.740384152916424,-0.34637215857938,-0.801685171763947,-0.389611618909225,-0.847217663316521,0.241012553922018,0.366490069748903,0.00536724000404908,0.443991254480013,602,200
NA,0.136951552648558,0.0983297066685661,-0.142399588336345,-0.0713008672148664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,200
"predicate_1",NA,NA,NA,NA,-0.731515487409455,-0.923808617775524,-0.468821260249561,-0.658873357681076,-0.477985537233924,-0.80242194858384,0.0054506787532939,0.202317786148798,0.00314576519875011,0.0926294327547814,802,200
"workerid",NA,NA,NA,NA,0.369452538413092,-0.128305026345973,-0.35645594924312,0.177420440903738,-0.545492155244345,-0.386007323663611,0.198477005052387,0.40334576176361,0.0694261435403483,0.454169189300389,802,200
NA,0.137322494906183,0.0701522292471515,0.118988992506845,0.0840402367041155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802,200
"predicate_1",NA,NA,NA,NA,-0.813942836043196,-0.786329167225298,-0.67748404574162,-0.801187157412021,-0.789507809348496,-0.822954011680281,0.0761935616263511,0.00240655525852651,0.0027122903853472,0.0862896700057179,25,200
"workerid",NA,NA,NA,NA,0.14985464515044,-0.7454031760803,-0.452068579767206,-0.651418330017626,-0.639266180561441,-0.794826629809994,0.35652995977085,0.17795203310393,0.00354663638664137,0.0846389696265877,25,200
NA,0.176503809039115,0.313878505873458,0.0471261135487775,0.00314994587621484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,200
"predicate_1",NA,NA,NA,NA,-0.677693518321701,-0.808985802519913,-0.808569923883566,-0.579087694420296,-0.765932196802853,-0.891015004970402,0.132182341928684,0.0282914015515537,0.21860431474719,0.0113446525868888,709,200
"workerid",NA,NA,NA,NA,0.301397946683669,0.0655791447342556,-0.423584421578826,-0.0214936362668603,-0.521711080448326,-0.357726838669474,0.236725806190664,0.231685327098017,0.0493355125337563,0.430837527066159,709,200
NA,0.0768434421810083,0.151048136221275,-0.0335934852552488,0.0881876715827022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709,200
"predicate_1",NA,NA,NA,NA,-0.681415604373136,-0.918706135814402,-0.556694250168223,-0.812588425779247,-0.745043517199392,-0.859638757188991,0.092968629089727,0.00362502675365129,0.083857078516423,0.00722944302401638,603,200
"workerid",NA,NA,NA,NA,0.0549084738852149,-0.723620749331517,-0.501104130205984,-0.664213564217151,-0.804660714322925,-0.768865535768407,0.248966952443187,0.242339540416807,0.00241803064759912,0.429094783539224,603,200
NA,0.157550393524751,0.0719167988956866,0.0125647320159497,-0.207569953419527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603,200
"predicate_1",NA,NA,NA,NA,-0.71993336005742,-0.760582412401414,-0.88189239034083,-0.867466580219735,-0.880448679149302,-0.710579579949941,0.122607349149684,0.00702276018972423,0.00471443770904238,0.115522915397551,906,200
"workerid",NA,NA,NA,NA,-0.045316063560142,-0.321096513547242,-0.686167406400364,-0.37716127849137,-0.320485333437625,-0.292144232370569,0.334613954083215,0.203624870891126,0.0338940521852181,0.574425981668068,906,200
NA,0.0905462773548227,0.0918716042023202,0.0411535174342883,-0.167318193967507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,200
"predicate_1",NA,NA,NA,NA,-0.868986512529082,-0.526839331519314,-0.795149979636264,-0.811421402394541,-0.746389580305066,-0.956922166410619,0.0674341599123188,0.00205622296177976,0.102354132025933,0.127666401165504,26,200
